Case/Scenario,LCA_metric,Total LCA: Unit (numerator),Total LCA: Unit (denominator),Production Year,Total LCA
2022 SOT: Sludge HTL to Biocrude upgraded to Hydrocarbons,CO2e,g,MJ,2050,-7.399297458681563
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2022,-30.08200643332359
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2023,-30.08200643332359
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2024,-30.08200643332359
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2025,-32.315213359792516
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2026,-32.315213359792516
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2027,-32.315213359792516
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2028,-32.315213359792516
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2029,-32.315213359792516
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2030,-33.4266986570729
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2031,-33.4266986570729
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2032,-33.4266986570729
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2033,-33.4266986570729
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2034,-33.4266986570729
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2035,-34.43126411089711
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2036,-34.431264110897125
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2037,-34.431264110897125
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2038,-34.431264110897125
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2039,-34.431264110897125
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2040,-34.7550752316263
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2041,-34.7550752316263
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2042,-34.7550752316263
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2043,-34.7550752316263
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2044,-34.7550752316263
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2045,-34.928547049070026
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2046,-34.928547049070026
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2047,-34.928547049070026
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2048,-34.928547049070026
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2049,-34.928547049070026
"2022, Fully upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2050,-35.5748450281378
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2022,3.1509363503610737
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2023,3.1509363503610737
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2024,3.1509363503610737
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2025,2.653971347197593
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2026,2.653971347197593
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2027,2.653971347197593
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2028,2.653971347197593
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2029,2.653971347197593
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2030,2.187834463585217
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2031,2.187834463585217
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2032,2.187834463585217
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2033,2.187834463585217
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2034,2.187834463585217
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2035,1.8416313699613465
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2036,1.8416313699613447
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2037,1.8416313699613447
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2038,1.8416313699613447
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2039,1.8416313699613447
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2040,1.8405391522350745
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2041,1.8405391522350736
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2042,1.8405391522350736
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2043,1.8405391522350736
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2044,1.8405391522350736
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2045,1.8399540210521836
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2046,1.8399540210521834
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2047,1.8399540210521834
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2048,1.8399540210521834
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2049,1.8399540210521834
"2022, Fully upgraded marine fuel via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2050,1.436019128808612
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2022,-43.616149438360694
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2023,-43.616149438360694
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2024,-43.616149438360694
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2025,-45.7994641549394
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2026,-45.7994641549394
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2027,-45.7994641549394
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2028,-45.7994641549394
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2029,-45.7994641549394
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2030,-46.90127418771774
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2031,-46.90127418771774
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2032,-46.90127418771774
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2033,-46.90127418771774
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2034,-46.90127418771774
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2035,-47.89115496323073
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2036,-47.89115496323073
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2037,-47.89115496323073
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2038,-47.89115496323073
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2039,-47.89115496323073
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2040,-48.20263890852977
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2041,-48.20263890852978
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2042,-48.20263890852978
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2043,-48.20263890852978
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2044,-48.20263890852978
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2045,-48.36950682238659
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2046,-48.36950682238659
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2047,-48.36950682238659
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2048,-48.36950682238659
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2049,-48.36950682238659
"2022, Marine biocrude via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2050,-49.018071050114415
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2022,-2.694235519580787
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2023,-2.6942355195807863
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2024,-2.6942355195807863
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2025,-3.084505153125992
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2026,-3.084505153125992
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2027,-3.084505153125992
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2028,-3.084505153125992
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2029,-3.084505153125992
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2030,-3.5108429351338915
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2031,-3.5108429351338915
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2032,-3.5108429351338915
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2033,-3.5108429351338915
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2034,-3.5108429351338915
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2035,-3.816157693627958
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2036,-3.816157693627958
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2037,-3.816157693627958
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2038,-3.816157693627958
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2039,-3.816157693627958
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2040,-3.797496906336842
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2041,-3.7974969063368436
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2042,-3.7974969063368436
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2043,-3.7974969063368436
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2044,-3.7974969063368436
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2045,-3.787499974646808
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2046,-3.787499974646808
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2047,-3.787499974646808
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2048,-3.787499974646808
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2049,-3.787499974646808
"2022, Marine biocrude via HTL from sludge with NH3 removal for 1000 MTPD sludge",CO2e,g,MJ,2050,-4.176623930048205
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2022,11.607229627975393
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2023,11.607229627975393
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2024,11.607229627975393
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2025,12.016111421947121
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2026,12.016111421947121
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2027,12.016111421947121
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2028,12.016111421947121
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2029,12.016111421947121
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2030,11.775039287676982
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2031,11.775039287676982
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2032,11.775039287676982
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2033,11.775039287676982
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2034,11.775039287676982
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2035,11.725534593475574
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2036,11.725534593475572
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2037,11.725534593475572
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2038,11.725534593475572
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2039,11.725534593475572
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2040,11.929891218624983
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2041,11.92989121862498
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2042,11.92989121862498
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2043,11.92989121862498
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2044,11.92989121862498
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2045,12.03936896783807
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2046,12.03936896783807
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2047,12.03936896783807
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2048,12.03936896783807
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2049,12.03936896783807
"2022, Marine fuel through Catalytic Fast Pyrolysis with Pt/TiO2 of blended woody biomass",CO2e,g,MJ,2050,11.645165797560452
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2022,0.5560433748935218
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2023,0.556043374893529
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2024,0.556043374893529
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2025,4.905412090282073
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2026,4.905412090282073
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2027,4.905412090282073
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2028,4.905412090282073
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2029,4.905412090282073
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2030,5.887154216235295
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2031,5.887154216235292
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2032,5.887154216235292
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2033,5.887154216235292
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2034,5.887154216235292
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2035,7.227110160257417
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2036,7.227110160257413
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2037,7.227110160257413
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2038,7.227110160257413
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2039,7.227110160257413
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2040,8.245200402005272
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2041,8.245200402005272
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2042,8.245200402005272
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2043,8.245200402005272
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2044,8.245200402005272
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2045,8.790610813919734
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2046,8.79061081391973
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2047,8.79061081391973
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2048,8.79061081391973
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2049,8.79061081391973
"2022, Marine fuel through Catalytic Fast Pyrolysis with ZSM5 of blended woody biomass",CO2e,g,MJ,2050,8.689883249789755
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2022,20.01914600715723
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2023,20.01914600715723
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2024,20.01914600715723
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2025,19.25283554987538
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2026,19.25283554987538
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2027,19.25283554987538
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2028,19.25283554987538
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2029,19.25283554987538
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2030,18.705918137693804
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2031,18.705918137693804
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2032,18.705918137693804
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2033,18.705918137693804
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2034,18.705918137693804
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2035,18.271477212777743
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2036,18.271477212777743
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2037,18.271477212777743
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2038,18.271477212777743
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2039,18.271477212777743
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2040,18.212818746136506
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2041,18.212818746136506
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2042,18.212818746136506
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2043,18.212818746136506
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2044,18.212818746136506
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2045,18.181394279945447
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2046,18.181394279945447
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2047,18.181394279945447
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2048,18.181394279945447
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2049,18.181394279945447
"2022, Marine fuel through Fast Pyrolysis of blended woody biomass",CO2e,g,MJ,2050,17.7601069184922
"2022, Partially upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2022,-35.89888060279984
"2022, Partially upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2023,-35.89888060279984
"2022, Partially upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2024,-35.89888060279984
"2022, Partially upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2025,-38.16725963894564
"2022, Partially upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2026,-38.16725963894564
"2022, Partially upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2027,-38.16725963894564
"2022, Partially upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2028,-38.16725963894564
"2022, Partially upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2029,-38.16725963894564
"2022, Partially upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2030,-39.2924351732594
"2022, Partially upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2031,-39.2924351732594
"2022, Partially upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2032,-39.2924351732594
"2022, Partially upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2033,-39.2924351732594
"2022, Partially upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2034,-39.2924351732594
"2022, Partially upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2035,-40.31067775583743
"2022, Partially upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2036,-40.310677755837446
"2022, Partially upgraded marine fuel via HTL from Manure with NH3 removal for 1000 MTPD Manure",CO2e,g,MJ,2037,-40.310677755837446
